MP,Party,Seat,2nd home allowance,London supplement,Office,Staffing,Central stationery,Stationery & postage,IT provision,Staff cover,Communications,Travel,Total
"Abbott, Ms Diane",LAB,Hackney North & Stoke Newington,0,2812,20178,90325,1521,3906,1351,1905,7948,1789,131735
"Adams, Mr Gerry",SF,West Belfast,21131,0,21273,90278,85,218,1329,0,0,3629,137943
"Afriyie, Adam",CON,Windsor,0,0,17297,83261,534,2270,1290,0,0,0,104652
"Ainger, Nick",LAB,Carmarthen West & Pembrokeshire South,15385,0,11863,98205,589,1760,1167,0,10597,6964,146530
"Ainsworth, Mr Peter",CON,Surrey East,12363,0,14168,94230,632,1753,1183,0,8244,5842,138415
"Ainsworth, Rt Hon Bob",LAB,Coventry North East,23083,0,19724,79747,426,978,1312,0,5547,3698,134515
"Alexander, Danny",LD,"Inverness, Nairn, Badenoch  and Strathspey  ",23083,0,20971,81712,950,2548,1002,0,11798,26414,168478
"Alexander, Rt Hon Douglas",LAB,Paisley & Renfrewshire South,17169,0,17335,66668,2141,4619,1396,0,6854,17945,134127
"Allen, Mr Graham",LAB,Nottingham North,22945,0,19608,85944,1446,5462,1291,0,16291,18211,171198
"Amess, Mr David",CON,Southend West,23063,0,19777,79624,782,2595,1293,0,2820,7794,137748
"Ancram, Rt Hon Michael",CON,Devizes,15756,0,10984,95089,534,1773,1192,0,1333,9034,135695
"Anderson, Janet",LAB,Rossendale & Darwen,23039,0,29281,82300,1367,5404,1270,0,9930,20965,173556
"Anderson, Mr David",LAB,Blaydon,21652,0,15305,90494,78,0,1168,7752,6737,13908,157094
"Arbuthnot, Rt Hon James",CON,Hampshire North East,23083,0,17170,84145,568,1838,1430,0,12792,5166,146192
"Armstrong, Rt Hon Hilary",LAB,Durham North West,11712,0,18621,75592,719,1418,1275,602,7583,20114,137636
"Atkins, Charlotte",LAB,Staffordshire Moorlands,23083,0,21324,90504,1497,5501,1284,0,9996,11269,164458
"Atkinson, Mr Peter",CON,Hexham,23083,0,17811,87025,416,2119,1119,0,4871,13926,150370
"Austin, John",LAB,Erith & Thamesmead,23083,0,14363,96202,937,2454,1066,0,5486,1694,145285
"Austin, Mr Ian",LAB,Dudley North,21925,0,19086,88703,1596,5400,1292,0,9503,7658,155163
"Bacon, Mr Richard",CON,Norfolk South,20888,0,21477,90163,641,2500,1055,0,3038,7736,147498
"Bailey, Mr Adrian",LAB,West Bromwich West,22862,0,16277,95548,540,1456,1125,2075,6618,6396,152897
"Baird, Vera QC",LAB,Redcar,19728,0,17355,94488,577,1560,1258,0,5109,11900,151975
"Baker, Norman",LD,Lewes,21862,0,24993,84032,1324,3913,1073,358,9488,5169,152212
"Baldry, Tony",CON,Banbury,23083,0,11124,87509,784,2205,1159,0,16129,5151,147144
"Balls, Rt Hon Ed",LAB,Normanton,12219,0,21429,90414,2126,4470,1071,0,9312,14485,155526
"Banks, Gordon",LAB,Ochil and South Perthshire,23083,0,23778,87744,892,2460,1079,0,10276,21794,171106
"Barker, Gregory",CON,Bexhill & Battle,21700,0,25056,92391,1024,4047,1262,0,8733,6417,160630
"Barlow, Ms Celia",LAB,Hove,0,0,22664,86070,692,2767,1071,0,13109,7936,134309
"Baron, Mr John",CON,Billericay,23083,0,13167,98653,1297,5355,1375,0,9909,3418,156257
"Barrett, John",LD,Edinburgh West,22663,0,21833,81275,1195,1992,1211,2016,9980,12276,154441
"Barron, Rt Hon Kevin",LAB,Rother Valley,23083,0,12160,98254,377,565,1089,0,8724,10532,154784
"Battle, Rt Hon John",LAB,Leeds West,18819,0,20622,90505,905,2071,1199,0,7363,14730,156214
"Bayley, Hugh",LAB,City of York,23083,0,20229,91614,1412,4117,1028,0,8364,13472,163319
"Beckett, Rt Hon Margaret",LAB,Derby South,16974,0,8066,107458,915,2382,686,0,525,200,137206
"Begg, Miss Anne",LAB,Aberdeen South,22116,0,23170,88673,1013,4376,1132,0,9652,16661,166793
"Beith, Rt Hon Sir Alan",LD,,17686,0,13491,85593,645,3040,1307,3719,12638,14444,152563
"Bell, Sir Stuart",LAB,Middlesbrough,22934,0,5086,77127,238,835,1061,0,5467,21185,133933
"Bellingham, Mr Henry",CON,Norfolk North West,22350,0,14424,85576,1257,4735,1378,0,3849,6790,140359
"Benn, Rt Hon Hilary",LAB,Leeds Central,11631,0,10661,64164,907,2218,1407,0,2839,10050,103877
"Benton, Mr Joe",LAB,Bootle,8363,0,8556,79667,426,1877,1076,0,0,12373,112338
"Benyon, Mr Richard",CON,Newbury,0,0,15501,75566,1189,3625,1269,0,6106,2472,105728
"Bercow, John",CON,Buckingham,23083,0,7006,55952,735,2115,1001,0,8144,5400,103436
"Beresford, Sir Paul",CON,Mole Valley,3521,0,15889,86294,228,1328,1362,0,15598,5054,129274
"Berry, Dr Roger",LAB,Kingswood,20781,0,20940,87024,1244,2385,1275,0,8157,6993,148799
"Betts, Mr Clive",LAB,Sheffield Attercliffe,23081,0,17096,94748,1393,3542,1347,0,9999,12049,163255
"Binley, Mr Brian",CON,Northampton South,21700,0,13809,82725,894,1808,1037,0,15332,5801,143106
"Blackman, Liz",LAB,Erewash,22588,0,21153,89239,1524,5023,1176,1622,6389,5853,154567
"Blackman-Woods, Dr Roberta",LAB,City of Durham,23041,0,19063,84254,2251,2116,1124,0,11873,14414,158136
"Blair, Rt Hon Tony",LAB,Sedgefield,5772,0,2181,19188,0,0,1249,35022,0,652,64064
"Blears, Rt Hon Hazel",LAB,Salford,23083,0,18636,92407,912,3382,1297,0,8518,16556,164791
"Blizzard, Mr Bob",LAB,Waveney,23082,0,21080,90485,1112,3522,1000,1411,10268,5759,157719
"Blunkett, Rt Hon David",LAB,Sheffield Brightside,23083,0,17624,87928,1071,3183,1309,0,10319,3055,147572
"Blunt, Mr Crispin",CON,Reigate,23083,0,19347,90703,670,2434,1303,0,0,3123,140663
"Bone, Mr Peter",CON,Wellingborough,23061,0,17240,94600,1519,4890,1065,0,9939,6355,158669
"Borrow, Mr David S",LAB,Ribble South,23083,0,21276,88173,1677,3772,1374,0,19006,14345,172706
"Boswell, Mr Tim",CON,Daventry,6332,0,11653,91367,629,2924,999,0,13895,3982,131781
"Bottomley, Peter",CON,Worthing West,23083,0,8748,82857,530,1877,1298,0,2599,5611,126603
"Bradshaw, Mr Ben",LAB,Exeter,19715,0,17117,84890,1446,4592,827,0,9556,3452,141595
"Brady, Mr Graham",CON,Altrincham & Sale West,23083,0,16287,86685,664,2351,825,0,0,15732,145627
"Brake, Tom",LD,Carshalton & Wallington,0,2812,22367,90505,-1854,5573,1261,0,6528,2589,129781
"Brazier, Mr Julian",CON,Canterbury,15071,0,10913,95117,829,3450,1059,0,2840,5521,134800
"Breed, Mr Colin",LD,Cornwall South East,17807,0,19113,74860,627,2025,1288,0,10308,12343,138371
"Brennan, Kevin",LAB,Cardiff West,23083,0,10708,72918,281,1250,1061,0,7618,10681,127600
"Brokenshire, James",CON,Hornchurch,368,0,14589,86036,668,1521,1165,0,2746,2122,109215
"Brooke, Annette",LD,Dorset Mid & Poole North,16285,0,19564,82177,825,3019,1216,0,4379,5456,132921
"Brown, Lyn",LAB,West Ham,15889,0,20358,93109,1858,4891,924,0,3255,253,140537
"Brown, Mr Russell",LAB,Dumfries and Galloway,19908,0,26925,83018,1646,2944,1187,0,9920,19477,165025
"Brown, Rt Hon Gordon",LAB,Kirkcaldy & Cowdenbeath,17073,0,18847,69915,294,1382,1138,0,2887,12918,124454
"Brown, Rt Hon Nicholas",LAB,Newcastle upon Tyne East & Wallsend,23068,0,11652,101153,314,1275,1346,0,10832,15675,165315
"Browne, Mr Jeremy",LD,Taunton,23074,0,19662,90251,1965,4989,1114,0,11205,8876,161136
"Browne, Rt Hon Des",LAB,Kilmarnock & Loudoun,17691,0,17422,87337,821,2204,1262,5303,4497,10404,146941
"Browning, Angela",CON,Tiverton & Honiton,22873,0,11498,98852,728,1881,1452,0,9682,7772,154738
"Bruce, Rt Hon Malcolm",LD,Gordon,23083,0,18862,92840,507,1226,1011,0,8290,25091,170910
"Bryant, Chris",LAB,Rhondda,23083,0,15193,88356,467,990,1204,0,8880,12228,150401
"Buck, Ms Karen",LAB,Regent's Park & Kensington North,0,2812,18720,92761,2591,4405,1182,0,9686,1077,133234
"Burden, Richard",LAB,Birmingham Northfield,21061,0,12339,96412,664,2389,1450,3523,12945,13469,164252
"Burgon, Colin",LAB,Elmet,22500,0,20433,89870,783,1530,1215,0,10866,10734,157931
"Burnham, Rt Hon Andy",LAB,Leigh,10504,0,13860,87563,683,2318,1211,0,861,10804,127804
"Burns, Mr Simon",CON,Chelmsford West,18908,0,18088,80478,661,3110,1265,0,8096,4931,135537
"Burrowes, Mr David",CON,Enfield Southgate,0,2812,18076,86713,827,2660,1180,2493,11329,877,126967
"Burstow, Mr Paul",LD,Sutton & Cheam,0,2812,12006,87754,1798,4963,1267,0,15525,2541,128666
"Burt, Alistair",CON,Bedfordshire North East,22322,0,23161,84767,523,1398,1135,0,6355,8511,148172
"Burt, Lorely",LD,Solihull,21398,0,20744,89154,1188,3077,1128,0,5609,6704,149002
"Butler, Ms Dawn",LAB,Brent South,23083,0,15137,88783,2029,4887,1039,4972,11396,189,151515
"Butterfill, Sir John",CON,Bournemouth West,22877,0,10617,76218,485,1275,1004,0,9063,5675,127214
"Byers, Rt Hon Stephen",LAB,Tyneside North,18091,0,20380,62166,516,1860,1244,0,8086,13026,125369
"Byrne, Rt Hon Liam",LAB,Birmingham Hodge Hill,23083,0,20273,91461,2519,4394,2721,1678,9576,8319,164024
"Cable, Dr Vincent",LD,Twickenham,0,2812,21333,90422,1152,3948,1255,0,3538,1680,126140
"Caborn, Rt Hon Richard",LAB,Sheffield Central,21755,0,19794,90784,633,2184,1170,0,4673,16066,157059
"Cairns, David",LAB,Inverclyde,23075,0,24946,74909,903,2760,1154,0,7404,10825,145976
"Cameron, Rt Hon David",CON,Witney,19626,0,7588,103630,2594,4399,1294,5412,2200,2086,148829
"Campbell, Mr Alan",LAB,Tynemouth,21188,0,23761,78998,1519,2452,1288,0,11851,17591,158648
"Campbell, Mr Gregory",DUP,East Londonderry,23083,0,5421,80112,291,1325,1362,0,0,24619,136213
"Campbell, Mr Ronnie",LAB,Blyth Valley,23083,0,20824,90455,353,1427,1093,0,9222,15256,161713
"Campbell, Rt Hon Sir Menzies",LD,Fife North East ,22570,0,13039,90794,797,2883,1323,6731,3294,15681,157112
"Carmichael, Mr Alistair",LD,Orkney and Shetland,23083,0,28462,77256,273,1160,1098,0,4017,40841,176190
"Carswell, Mr Douglas",CON,Harwich,23083,0,21290,84770,570,2871,1296,0,13204,6294,153378
"Cash, Mr William",CON,Stone,22312,0,12114,79792,127,255,509,0,9872,12598,137579
"Caton, Mr Martin",LAB,Gower,13022,0,14366,84769,258,1479,1095,0,9738,6597,131324
"Cawsey, Mr Ian",LAB,Brigg & Goole,18050,0,21700,85872,1770,4191,1166,5235,9954,11997,159935
"Challen, Colin",LAB,Morley & Rothwell,11412,0,12843,97437,1020,3063,1275,0,2189,17124,146363
"Chapman, Ben",LAB,Wirral South,23083,0,23481,81197,1564,5408,1305,0,13148,15513,164699
"Chaytor, Mr David",LAB,Bury North,21584,0,21754,90089,353,279,1049,0,8966,12135,156209
"Chope, Mr Christopher",CON,Christchurch,22792,0,23208,81998,371,1289,901,0,0,6433,136992
"Clapham, Mr Michael",LAB,Barnsley West & Penistone,20256,0,8052,62689,223,1812,1310,0,4121,8247,106710
"Clappison, Mr James",CON,Hertsmere,15916,0,13908,96998,828,2248,1178,0,9104,9318,149498
"Clark, Greg",CON,Tunbridge Wells,23000,0,5221,94003,788,1526,1089,0,3251,2876,131754
"Clark, Ms Katy",LAB,Ayrshire North and Arran,16661,0,23778,87140,494,1335,1189,0,9772,16483,156852
"Clark, Paul",LAB,Gillingham,22204,0,19901,84890,1228,3414,1250,0,6863,3652,143402
"Clarke, Rt Hon Charles",LAB,Norwich South,23083,0,19844,92000,1906,5092,1192,0,9831,9272,162220
"Clarke, Rt Hon Kenneth",CON,Rushcliffe,17565,0,6866,88112,807,1592,1104,0,1226,5804,123076
"Clarke, Rt Hon Tom",LAB,"Coatbridge, Chryston and Bellshill   ",16264,0,11684,99782,613,1422,1162,0,9238,15805,155970
"Clegg, Rt Hon Nick",LD,Sheffield Hallam,23083,0,20678,90505,961,2067,937,0,3703,7092,149026
"Clelland, Mr David",LAB,Tyne Bridge,17279,0,21358,87423,378,558,1375,0,2993,25019,156383
"Clifton-Brown, Mr Geoffrey",CON,Cotswold,23083,0,21402,82859,496,1447,1365,0,4019,3411,138082
"Clwyd, Rt Hon Ann",LAB,Cynon Valley,21165,0,14577,89847,836,4374,1007,0,4298,7815,143919
"Coaker, Mr Vernon",LAB,Gedling,12404,0,24011,86929,1380,3909,1196,0,9803,9135,148767
"Coffey, Ann",LAB,Stockport,21985,0,19447,86421,1383,1915,1496,0,7329,10270,150246
"Cohen, Harry",LAB,Leyton & Wanstead,23083,0,11341,100494,699,3109,1310,2810,9027,3153,155026
"Connarty, Michael",LAB,Linlithgow & Falkirk East,23083,0,29147,81455,685,3428,1173,6304,10932,27259,183466
"Conway, Derek",IND CON,Old Bexley & Sidcup,23033,0,23011,73772,395,959,1447,0,2746,5584,130947
"Cook, Frank",LAB,Stockton North,23083,0,16791,83261,360,1062,1296,0,9372,18677,153902
"Cooper, Rosie",LAB,Lancashire West,23083,0,18580,72096,1779,4848,1131,0,9746,12866,144129
"Cooper, Rt Hon Yvette",LAB,Pontefract & Castleford,12219,0,16588,90224,1759,4479,1120,1681,9130,15459,152659
"Corbyn, Jeremy",LAB,Islington North,0,2812,17873,93971,1189,4356,1136,0,6147,1826,129310
"Cormack, Sir Patrick",CON,Staffordshire South,22972,0,22350,79344,1100,5572,850,0,0,5229,137417
"Cousins, Jim",LAB,Newcastle upon Tyne Central,9649,0,17111,93902,982,2737,1174,0,4057,14454,144066
"Cox, Mr Geoffrey",CON,Devon West & Torridge,20250,0,20898,81135,567,1523,1238,0,6283,13466,145360
"Crabb, Mr Stephen",CON,Preseli Pembrokeshire,22243,0,25447,85390,755,2136,1104,1707,8591,11748,159121
"Crausby, Mr David",LAB,Bolton North East,23083,0,19137,85344,334,1190,1261,0,7663,9930,147942
"Creagh, Mary",LAB,Wakefield,23083,0,14452,82651,1016,3529,1138,0,9161,7614,142644
"Cruddas, Jon",LAB,Dagenham,23071,0,13067,82371,2146,4830,1118,5295,9469,3594,144961
"Cryer, Mrs Ann",LAB,Keighley,19765,0,20269,91316,1845,2989,1350,0,8304,12352,158190
"Cummings, John",LAB,Easington,22075,0,12294,99549,227,988,1183,0,0,19728,156044
"Cunningham, Mr Jim",LAB,Coventry South,17365,0,9958,75248,441,2360,1358,599,1491,4418,113238
"Cunningham, Tony",LAB,Workington,16903,0,10860,77036,595,1760,1080,0,887,18704,127825
"Curry, Rt Hon David",CON,Skipton & Ripon,9439,0,18172,90382,591,2237,1090,0,0,9988,131899
"Curtis-Thomas, Mrs Claire",LAB,Crosby,23083,0,14187,97656,901,3678,1340,0,9651,15125,165621
"Darling, Rt Hon Alistair",LAB,Edinburgh South West,9837,0,19085,90933,423,1394,1021,0,7579,21632,151904
"Davey, Mr Edward",LD,Kingston & Surbiton,0,2812,26281,85362,1109,2137,1203,17603,9690,2004,148201
"David, Mr Wayne",LAB,Caerphilly,22700,0,13171,97670,620,1886,1250,0,547,11192,149036
"Davidson, Mr Ian",LAB,Glasgow South West,23083,0,26679,79814,1363,4633,1292,0,13710,19440,170014
"Davies, Dai",IND,Blaenau Gwent,22506,0,13738,79059,48,408,895,0,0,3043,119697
"Davies, David T. C.",CON,Monmouth,23020,0,23056,81646,525,1360,1039,0,17097,12455,160198
"Davies, Mr Quentin",LAB,Grantham & Stamford,23083,0,3941,97137,278,789,1157,5177,0,11295,142857
"Davies, Philip",CON,Shipley,23083,0,19985,90257,1002,3276,1107,0,10732,11858,161300
"Davis, Rt Hon David",CON,Haltemprice & Howden,17643,0,19258,88036,462,1489,1316,0,2871,10888,141963
"Dean, Mrs Janet",LAB,Burton,17261,0,11816,83932,1216,2938,1472,0,7885,5054,131574
"Denham, Rt Hon John",LAB,Southampton Itchen,23083,0,17574,89780,1185,3433,1417,877,9690,7221,154260
"Devine, Jim",LAB,Livingston,22898,0,21274,89532,1610,3662,1033,0,10028,19096,169133
"Dhanda, Mr Parmjit",LAB,Gloucester,20805,0,12319,93256,2405,4421,1325,0,11873,7502,153906
"Dismore, Mr Andrew",LAB,Hendon,3815,0,21377,90457,752,6205,1265,0,9930,3644,137445
"Djanogly, Mr Jonathan",CON,Huntingdon,19736,0,16512,87925,801,3574,1249,5048,8913,5639,149397
"Dobbin, Jim",LAB,Heywood & Middleton,9425,0,16088,95754,481,0,1309,0,697,9130,132884
"Dobson, Rt Hon Frank",LAB,Holborn & St Pancras,0,2812,4371,85304,881,1648,26,0,2625,173,97840
"Dodds, Mr Nigel",DUP,North Belfast,22992,0,29812,74351,1118,4052,1301,0,10111,27872,171609
"Doherty, Mr Pat",SF,West Tyrone,21000,0,21293,87083,210,622,1300,0,0,4915,136423
"Donaldson, Rt Hon Jeffrey M.",DUP,Lagan Valley,20342,0,20758,89492,1169,3176,982,0,5360,19816,161095
"Donohoe, Mr Brian H.",LAB,Ayrshire Central,23083,0,20254,83894,609,2558,1291,0,6170,25531,163390
"Doran, Mr Frank",LAB,Aberdeen North,22854,0,23587,88257,1107,3211,1346,0,7305,24050,171717
"Dorrell, Rt Hon Stephen",CON,Charnwood,22368,0,5638,87978,700,2540,1135,0,0,6120,126479
"Dorries, Nadine",CON,Bedfordshire Mid,22528,0,19399,87098,250,665,1132,0,12989,8257,152318
"Dowd, Jim",LAB,Lewisham West,0,2812,22723,88998,611,2277,1261,0,9701,2782,131165
"Drew, Mr David",LAB,Stroud,10479,0,14902,89330,1268,5732,1762,0,2203,7580,133256
"Duddridge, James",CON,Rochford & Southend East,22975,0,19788,90280,1465,5237,1290,7646,7359,3965,160005
"Duncan Smith, Rt Hon Iain",CON,Chingford & Woodford Green,0,2812,16641,78983,276,1291,1257,0,6593,5052,112905
"Duncan, Mr Alan",CON,Rutland & Melton,23027,0,26763,82886,499,2538,1111,0,4023,7601,148448
"Dunne, Mr Philip",CON,Ludlow,0,0,20547,90297,1380,4417,1149,0,10312,6081,134183
"Durkan, Mark",SDLP,Foyle,20796,0,21882,85326,237,545,1199,0,6841,12538,149364
"Eagle, Angela",LAB,Wallasey,7045,0,19116,89492,1062,1534,1204,2028,9570,9702,140753
"Eagle, Maria",LAB,Liverpool Garston,17124,0,12047,99797,982,1870,1480,0,9905,10537,153742
"Efford, Clive",LAB,Eltham,0,2812,18393,90939,1164,1818,1195,0,11302,2217,129840
"Ellman, Mrs Louise",LAB,Liverpool Riverside,22831,0,14530,96836,654,2030,1277,0,9942,15376,163476
"Ellwood, Mr Tobias",CON,Bournemouth East,23083,0,29718,66091,240,980,1065,0,1954,7055,130186
"Engel, Mrs Natascha",LAB,Derbyshire North East,20267,0,16923,90183,793,2124,966,0,11523,6842,149621
"Ennis, Jeff",LAB,Barnsley East & Mexborough,11632,0,9729,74104,281,439,1181,0,1987,10278,109631
"Etherington, Bill",LAB,Sunderland North,22922,0,16323,95465,329,1907,1227,1086,0,17208,156467
"Evans, Mr Nigel",CON,Ribble Valley,18374,0,11512,75973,514,1531,1203,0,1931,15005,126043
"Evennett, Mr David",CON,Bexleyheath & Crayford,0,2812,13369,82406,389,1635,1117,0,4611,2498,108837
"Fabricant, Michael",CON,Lichfield,23083,0,12383,73789,569,2819,521,0,5079,7831,126074
"Fallon, Mr Michael",CON,Sevenoaks,22853,0,12413,72015,430,1125,1183,0,4738,4910,119667
"Farrelly, Paul",LAB,,23083,0,17446,94396,664,1333,1171,0,10000,18962,167055
"Farron, Tim",LD,Westmorland & Lonsdale,23050,0,25617,81776,1165,2543,1138,0,8655,16489,160433
"Featherstone, Lynne",LD,Hornsey & Wood Green,0,2812,15808,94107,1021,1369,1138,0,11924,1252,129431
"Field, Mr Mark",CON,Cities of London & Westminster,0,2812,13540,93805,328,1565,896,3168,14014,943,131071
"Field, Rt Hon Frank",LAB,Birkenhead,9573,0,8242,98711,567,1389,1214,0,6663,9236,135595
"Fisher, Mark",LAB,Stoke-on-Trent Central,23083,0,8211,99814,493,600,1219,0,5940,8304,147664
"Fitzpatrick, Jim",LAB,Poplar & Canning Town,0,2812,10984,89352,1210,5741,1073,4471,5360,550,121553
"Flello, Mr Robert",LAB,Stoke-on-Trent South,20797,0,24990,86854,2654,4345,1376,0,9389,11711,162116
"Flint, Rt Hon Caroline",LAB,Don Valley,20861,0,19114,89319,1269,5730,1591,0,9580,11309,158773
"Flynn, Paul",LAB,Newport West,16958,0,13913,92902,202,510,1209,0,7171,8096,140961
"Follett, Barbara",LAB,Stevenage,22254,0,19907,91715,362,3047,1490,0,0,372,139147
"Foster, Michael Jabez",LAB,Hastings & Rye,14990,0,28852,82992,1962,4760,1308,0,10000,4454,149318
"Foster, Mr Don",LD,Bath,22754,0,20266,93729,978,1792,1346,1148,9196,5697,156906
"Foster, Mr Michael",LAB,Worcester,22847,0,16921,86832,1057,3785,1429,0,14669,7008,154548
"Fox, Dr Liam",CON,Woodspring,20746,0,19651,91346,363,1028,1398,0,9283,9501,153316
"Francis, Dr Hywel",LAB,Aberavon,23083,0,17312,90366,337,1195,1157,0,11446,11383,156279
"Francois, Mr Mark",CON,Rayleigh,20689,0,11739,88842,1044,3215,1490,0,7639,7134,141792
"Fraser, Christopher",CON,Norfolk South West,23022,0,14217,91412,586,1896,1090,0,10459,11140,153822
"Gale, Mr Roger",CON,Thanet North,9375,0,22100,89088,1931,4835,915,0,3516,5577,137337
"Galloway, Mr George",RES,Bethnal Green & Bow,0,1978,17721,94005,47,485,1058,11096,10000,0,136390
"Gapes, Mike",LAB,Ilford South,22291,0,20616,91227,572,1800,1425,0,5898,3834,147663
"Gardiner, Barry",LAB,Brent North,15079,0,11946,93888,1799,4959,1333,0,10587,4501,144092
"Garnier, Mr Edward",CON,Harborough,23080,0,15648,91243,399,1963,1008,0,6305,9838,149484
"Gauke, Mr David",CON,Hertfordshire South West,20186,0,6962,85630,539,1291,878,0,4426,1870,121782
"George, Andrew",LD,St Ives,23083,0,27110,86872,1651,5292,1157,1109,6774,17319,170367
"George, Rt Hon Bruce",LAB,Walsall South,15940,0,12448,90450,439,1052,1389,0,259,7924,129901
"Gerrard, Mr Neil",LAB,Walthamstow,0,2812,8733,83247,626,1570,1240,10035,5721,3060,117044
"Gibb, Mr Nick",CON,Bognor Regis & Littlehampton,23053,0,12941,90191,668,2025,1364,18771,0,9528,158541
"Gibson, Dr Ian",LAB,Norwich North,16216,0,10754,98119,796,2271,1023,0,4095,2967,136241
"Gidley, Sandra",LD,Romsey,22497,0,21283,92344,1566,3936,1445,1000,9934,5631,159636
"Gildernew, Michelle",SF,Fermanagh and South Tyrone,21000,0,21158,90506,111,519,1378,0,0,3600,138272
"Gillan, Mrs Cheryl",CON,Chesham & Amersham,23057,0,19956,91658,815,5329,1217,0,3150,8704,153886
