MP,Party,Seat,2nd home allowance,London supplement,Office,Staffing,Central stationery,Stationery & postage,IT provision,Staff cover,Communications,Travel,Total
"Moore, Mr Michael",LD,"Berwickshire, Roxburgh and Selkirk",21563,0,18403,89873,734,3324,964,0,10007,18230,163098
"Moran, Margaret",LAB,Luton South,22343,0,17665,94101,1671,3492,1477,0,9548,10170,160467
"Morden, Jessica",LAB,Newport East,20703,0,27270,89512,1593,4708,1117,0,10191,11966,167060
"Morgan, Julie",LAB,Cardiff North,9754,0,17336,94508,901,3043,1319,0,9582,10058,146501
"Morley, Rt Hon Elliot",LAB,Scunthorpe,19140,0,18302,87457,465,1345,1216,0,6013,11435,145373
"Moss, Mr Malcolm",CON,Cambridgeshire North East,23059,0,20881,89351,876,1790,1134,0,5514,6365,148970
"Mountford, Kali",LAB,Colne Valley,23083,0,23791,85535,897,300,1261,0,5766,19382,160015
"Mudie, Mr George",LAB,Leeds East,9635,0,19648,92025,1171,3627,1238,0,9182,13613,150139
"Mulholland, Greg",LD,Leeds North West,23083,0,24371,84532,1642,3180,1174,0,10010,9366,157358
"Mullin, Mr Chris",LAB,Sunderland South,12942,0,18110,87528,430,1149,1050,1169,1519,5684,129581
"Mundell, David",CON,"Dumfriesshire, Clydesdale and Tweeddale  ",22177,0,28618,78977,1585,4743,1020,0,11597,20470,169187
"Munn, Meg",LAB,Sheffield Heeley,23083,0,14631,81047,1308,5565,1180,0,6311,11231,144356
"Murphy, Conor",SF,Newry and Armagh,21000,0,21293,85790,55,170,1413,0,0,2640,132361
"Murphy, Mr Denis",LAB,Wansbeck,20881,0,19336,90549,327,340,776,0,4505,16429,153143
"Murphy, Rt Hon Jim",LAB,Renfrewshire East,22801,0,18962,91886,560,1583,1435,0,11594,13721,162542
"Murphy, Rt Hon Paul",LAB,Torfaen,20536,0,17774,93617,472,827,1328,0,9433,6936,150923
"Murrison, Dr Andrew",CON,Westbury,20401,0,15755,83421,838,3463,1199,0,3387,7571,136035
"Naysmith, Dr Doug",LAB,Bristol North West,20808,0,18085,85325,461,2216,1168,0,5164,7884,141111
"Neill, Bob",CON,Bromley & Chislehurst,19108,0,17130,102055,880,2075,337,0,11209,4538,157332
"Newmark, Mr Brooks",CON,Braintree,20000,0,8618,98107,267,816,1082,0,7402,1978,138270
"Norris, Dan",LAB,Wansdyke,21078,0,18789,88243,4373,2625,1316,0,9201,9785,155410
"O'Brien, Mr Mike",LAB,Warwickshire North,8963,0,24234,87545,505,2031,1255,1269,10063,8495,144360
"O'Brien, Mr Stephen",CON,Eddisbury,23034,0,23426,88143,351,1504,1151,0,0,15418,153027
"O'Hara, Mr Edward",LAB,Knowsley South,20711,0,20914,90741,220,1151,1127,0,1014,11146,147024
"Oaten, Mr Mark",LD,Winchester,22993,0,24738,85778,772,1607,1332,0,9606,9085,155911
"Olner, Mr Bill",LAB,Nuneaton,23083,0,14075,84077,452,2037,1168,0,935,12183,138010
"Opik, Lembit",LD,Montgomeryshire,23083,0,26955,84471,691,1718,1346,7111,9523,9508,164406
"Osborne, Mr George",CON,Tatton,22994,0,18729,78767,639,3517,1307,0,9965,15097,151015
"Osborne, Sandra",LAB,"Ayr, Carrick & Cumnock",18816,0,18814,60432,367,1640,1229,918,8174,18311,128701
"Ottaway, Richard",CON,Croydon South,21481,0,15484,87151,767,1785,1257,0,14533,2915,145373
"Owen, Albert",LAB,Ynys Mn,22519,0,17215,76318,626,1380,1213,0,4102,18765,142138
"Paice, Mr James",CON,Cambridgeshire South East,23083,0,14574,89199,437,1922,1116,0,13144,8044,151519
"Paisley, Rt Hon Dr Ian",DUP,North Antrim,18136,0,26084,85760,305,1612,0,0,0,7668,139565
"Palmer, Dr Nick",LAB,Broxtowe,23057,0,19125,92719,450,1606,1295,189,9995,8893,157329
"Paterson, Mr Owen",CON,Shropshire North,22637,0,17776,87891,778,3169,1219,0,13287,17540,164297
"Pearson, Ian",LAB,Dudley South,23005,0,25243,86225,1637,4577,1446,0,8348,7244,157725
"Pelling, Mr Andrew",IND CON,Croydon Central,0,2812,10244,79226,787,1755,1140,0,10887,22,106873
"Penning, Mike",CON,Hemel Hempstead,23083,0,21572,83479,1525,4557,1199,0,8412,5660,149487
"Penrose, John",CON,,21211,0,23624,79996,866,2682,1234,0,9240,4847,143700
"Pickles, Mr Eric",CON,Brentwood & Ongar,13689,0,16579,88892,496,581,1146,0,9944,4502,135829
"Plaskitt, Mr James",LAB,Warwick & Leamington,22884,0,20571,90096,1953,5042,1349,0,9841,4816,156552
"Pope, Mr Greg",LAB,Hyndburn,22211,0,24662,86275,353,1282,1350,0,6666,18889,161688
"Pound, Stephen",LAB,Ealing North,0,2812,10565,101057,1157,2685,1108,1599,9854,7113,137950
"Prentice, Bridget",LAB,Lewisham East,0,2812,30198,80832,1087,5364,1298,0,8974,787,131352
"Prentice, Mr Gordon",LAB,Pendle,20313,0,15480,85966,953,3381,850,0,2349,7555,136847
"Prescott, Rt Hon John",LAB,Hull East,23083,0,10920,88563,674,1712,1251,0,0,15441,141644
"Price, Adam",PC,Carmarthen East & Dinefwr,22788,0,19065,90773,283,510,1440,0,4011,10794,149664
"Primarolo, Rt Hon Dawn",LAB,Bristol South,23083,0,18050,90500,581,1511,1192,0,9730,5969,150616
"Prisk, Mr Mark",CON,Hertford & Stortford,20733,0,18120,92176,433,1645,1156,103,7654,5175,147195
"Pritchard, Mark",CON,The Wrekin,23083,0,21708,76797,1220,4341,1103,0,18499,15076,161827
"Prosser, Gwyn",LAB,Dover,14611,0,20035,85218,778,1931,1308,0,5575,4627,134083
"Pugh, Dr John",LD,Southport,23083,0,18088,77412,654,1431,1142,0,6809,4736,133355
"Purchase, Mr Ken",LAB,Wolverhampton North East,14713,0,20752,90446,332,1030,1294,0,8074,7609,144250
"Purnell, Rt Hon James",LAB,Stalybridge & Hyde,21209,0,17959,76465,499,1249,1180,0,4634,6369,129564
"Rammell, Bill",LAB,Harlow,12928,0,21410,90333,1785,5102,1338,0,9970,1474,144340
"Randall, Mr John",CON,Uxbridge,0,2812,16659,70884,625,3551,1126,0,0,3246,98903
"Raynsford, Rt Hon Nick",LAB,Greenwich & Woolwich,0,2812,12668,91034,348,1367,1358,0,7975,0,117562
"Redwood, Rt Hon John",CON,Wokingham,22729,0,10427,55616,457,1841,1250,0,9686,3911,105917
"Reed, Mr Andy",LAB,Loughborough,22568,0,20933,89907,303,720,1176,0,8743,7254,151604
"Reed, Mr Jamie",LAB,Copeland,22516,0,23508,91022,690,2210,1051,0,9354,19236,169587
"Reid, Mr Alan",LD,Argyll and Bute,15489,0,17536,68598,591,990,1363,0,13690,15670,133927
"Reid, Rt Hon John",LAB,Airdrie and Shotts,23083,0,29979,85497,358,1261,1488,0,4259,14284,160209
"Rennie, Willie",LD,Dunfermline & West Fife,21220,0,26629,82164,952,2870,1169,0,12897,15301,163202
"Rifkind, Rt Hon Sir Malcolm",CON,Kensington & Chelsea,0,2812,12509,91048,479,2641,913,0,4188,5095,119685
"Riordan, Mrs Linda",LAB,Halifax,23083,0,17940,88823,1182,2921,1264,0,3336,16019,154568
"Robathan, Mr Andrew",CON,Blaby,23083,0,11934,64599,233,1237,1278,0,0,7230,109594
"Robertson, Angus",SNP,Moray,23082,0,21696,81953,511,430,1372,0,9215,27620,165879
"Robertson, Hugh",CON,Faversham & Kent Mid,23083,0,16605,75733,291,510,1184,0,0,6414,123820
"Robertson, John",LAB,Glasgow North West,20809,0,19715,82942,605,1519,1272,0,6805,18875,152542
"Robertson, Mr Laurence",CON,Tewkesbury,23083,0,30374,81454,487,1696,1229,0,10015,14411,162749
"Robinson, Mr Geoffrey",LAB,Coventry North West,0,0,9576,87806,814,2295,885,0,4153,21534,127063
"Robinson, Mrs Iris",DUP,Strangford,20478,0,8079,78175,879,3192,1382,0,1315,11973,125473
"Robinson, Rt Hon Peter",DUP,East Belfast,19864,0,15301,72870,288,1355,1349,0,3136,14011,128174
"Rogerson, Dan",LD,Cornwall North,22931,0,13432,87905,754,2055,966,305,9780,12681,150809
"Rooney, Mr Terry",LAB,Bradford North,13980,0,20791,81933,1161,2685,1265,0,1273,14890,137978
"Rosindell, Andrew",CON,Romford,23083,0,20188,90885,1567,5315,1332,0,9914,4548,156832
"Rowen, Paul",LD,Rochdale,23083,0,22994,88468,1328,4591,1128,0,10324,12223,164139
"Roy, Mr Frank",LAB,Motherwell & Wishaw,21365,0,19052,89612,693,1208,1165,0,7580,17962,158637
"Ruane, Chris",LAB,Vale of Clwyd,23076,0,17548,94240,1030,5441,1345,0,10000,7255,159935
"Ruddock, Joan",LAB,Lewisham Deptford,0,2812,22852,88964,1179,4938,1127,0,8894,471,131237
"Ruffley, Mr David",CON,Bury St Edmunds,13760,0,22152,94781,1031,2046,1418,0,9019,7734,151941
"Russell, Bob",LD,Colchester,10963,0,20737,91105,1030,3032,1350,0,10000,6156,144373
"Russell, Christine",LAB,City of Chester,21359,0,25396,86447,1179,3038,1219,0,7567,10544,156749
"Ryan, Rt Hon Joan",LAB,Enfield North,21658,0,18719,91993,1612,5263,1048,0,10940,721,151954
"Salmond, Rt Hon Alex",SNP,Banff and Buchan,14130,0,19808,89809,1071,4768,1255,0,2222,6170,139233
"Salter, Martin",LAB,Reading West,0,0,20805,88865,1239,3041,1113,0,9302,7898,132263
"Sanders, Mr Adrian",LD,Torbay,19924,0,23656,88170,1210,4728,1323,2510,9072,13470,164063
"Sarwar, Mr Mohammad",LAB,Glasgow Central,22745,0,21104,90504,1087,2840,1481,0,10000,25121,174882
"Scott, Mr Lee",CON,Ilford North,0,2812,14585,89273,595,2391,926,0,5652,3845,120079
"Seabeck, Alison",LAB,Plymouth Devonport,20037,0,21169,89712,642,1224,1071,0,5760,11781,151396
"Selous, Andrew",CON,Bedfordshire South West,23074,0,7372,89000,1148,5731,1237,0,5828,5238,138628
"Shapps, Grant",CON,Welwyn Hatfield,7269,0,23118,80756,686,3019,1072,0,4444,6788,127152
"Sharma, Virendra",LAB,Ealing Southall,0,1958,15988,62003,802,2395,1128,0,6157,2621,93052
"Shaw, Jonathan",LAB,Chatham & Aylesford,21254,0,14827,92201,1516,2796,1484,0,14755,2590,151423
"Sheerman, Mr Barry",LAB,Huddersfield,23083,0,19583,92261,579,2429,1256,0,8025,13137,160353
"Shepherd, Mr Richard",CON,,15402,0,10569,73053,284,430,685,0,7328,5907,113658
"Sheridan, Jim",LAB,Paisley & Renfrewshire North,23083,0,22525,84209,116,630,1109,0,2966,18351,152989
"Short, Rt Hon Clare",IND LAB,Birmingham Ladywood,14420,0,4108,105802,670,2231,1222,0,0,10757,139210
"Simmonds, Mark",CON,Boston & Skegness,23083,0,22862,88744,262,1109,1360,0,7158,9295,153873
"Simon, Mr Sin",LAB,Birmingham Erdington,22975,0,26006,82136,2035,4908,1155,0,7593,12184,158992
"Simpson, Alan",LAB,Nottingham South,23083,0,21310,90505,1509,4030,1142,0,3058,11649,156286
"Simpson, David",DUP,Upper Bann,21770,0,21091,83001,482,1433,1101,0,2676,27349,158903
"Simpson, Mr Keith",CON,Norfolk Mid,22076,0,20123,81686,527,1817,1499,5779,19426,7154,160087
"Singh, Mr Marsha",LAB,Bradford West,22964,0,26026,69619,712,2018,1226,0,7776,13012,143353
"Skinner, Mr Dennis",LAB,Bolsover,11323,0,1039,45522,306,1105,1226,0,0,6412,66933
"Slaughter, Mr Andrew",LAB,Ealing Acton & Shepherd's Bush,0,5524,26347,84020,985,6001,970,0,9899,3407,137153
"Smith, Angela E.",LAB,Basildon,14618,0,18516,88849,1653,4152,1267,0,9605,2471,141131
"Smith, Geraldine",LAB,Morecambe & Lunesdale,23035,0,22889,85554,410,1077,1100,0,14399,17633,166097
"Smith, John",LAB,Vale of Glamorgan,23083,0,18453,77861,731,3277,983,0,14967,9159,148514
"Smith, Ms Angela C.",LAB,Sheffield Hillsborough,22843,0,14575,86090,1319,3630,1138,0,9741,10904,150240
"Smith, Rt Hon Andrew",LAB,Oxford East,13306,0,24257,86349,1811,5188,1482,5724,10869,3403,152389
"Smith, Rt Hon Jacqui",LAB,Redditch,22948,0,16688,92587,2241,1765,535,0,8567,12300,157631
"Smith, Sir Robert",LD,Aberdeenshire West and Kincardine  ,19039,0,19137,86309,465,1108,1486,0,11557,21215,160316
"Snelgrove, Anne",LAB,Swindon South,20913,0,21605,89656,2917,3277,1078,0,8923,8860,157229
"Soames, Hon Nicholas",CON,Sussex Mid,21869,0,19322,89677,527,1846,1376,0,11815,1992,148424
"Soulsby, Sir Peter",LAB,Leicester South,23051,0,20948,89985,1189,3830,987,0,7853,9108,156951
"Southworth, Helen",LAB,Warrington South,17643,0,17630,85361,483,1787,293,0,5279,10223,138699
"Spellar, Rt Hon John",LAB,Warley,11779,0,9799,85941,342,975,1029,0,9102,5359,124326
"Spelman, Mrs Caroline",CON,Meriden,10760,0,12642,55488,227,595,1749,13897,7057,18417,120832
"Spicer, Sir Michael",CON,Worcestershire West,21162,0,11701,46714,560,1545,1107,0,21587,4832,109208
"Spink, Bob",UKIP,Castle Point,23083,0,13356,82472,1005,4845,1148,0,9107,5971,140987
"Spring, Mr Richard",CON,Suffolk West,23083,0,16805,77375,1016,2801,1427,0,11013,5504,139024
"Stanley, Rt Hon Sir John",CON,Tonbridge & Malling,22252,0,5930,65613,1193,1831,1387,0,0,1590,99796
"Starkey, Dr Phyllis",LAB,Milton Keynes South West,17969,0,21343,90500,1871,4164,1419,858,9995,6648,154767
"Steen, Mr Anthony",CON,Totnes,23083,0,14371,91679,897,2449,1413,4664,11231,11170,160957
"Stewart, Ian",LAB,Eccles,21600,0,18327,92263,810,1331,1346,13867,130,14916,164590
"Stoate, Dr Howard",LAB,Dartford,17883,0,17221,93371,1556,5273,1176,0,11252,3928,151660
"Strang, Rt Hon Gavin",LAB,Edinburgh East,11081,0,15421,93265,400,1136,1365,0,9651,25252,157571
"Straw, Rt Hon Jack",LAB,Blackburn,8039,0,29201,73059,2030,3275,1321,0,3796,5646,126367
"Streeter, Mr Gary",CON,Devon South West,22096,0,18412,92786,422,1495,1288,0,4185,12960,153644
"Stringer, Graham",LAB,Manchester Blackley,20042,0,17123,70369,910,1356,1635,0,1286,13539,126260
"Stuart, Mr Graham",CON,Beverley & Holderness,22410,0,23206,87418,1169,3023,1104,0,4679,7277,150286
"Stuart, Ms Gisela",LAB,Birmingham Edgbaston,18245,0,25779,85716,1192,3418,1335,0,9596,8819,154100
"Stunell, Andrew",LD,Hazel Grove,15383,0,12464,90732,539,1895,1283,0,13861,5049,141206
"Sutcliffe, Mr Gerry",LAB,Bradford South,11640,0,19854,89101,419,615,1415,0,5003,17976,146023
"Swayne, Mr Desmond",CON,New Forest West,15957,0,7322,64144,412,1607,1259,0,173,3879,94753
"Swinson, Jo",LD,Dunbartonshire East,23083,0,18618,90410,693,2937,1202,0,5557,14741,157241
"Swire, Mr Hugo",CON,Devon East,22802,0,23572,88271,517,1312,1076,0,2684,11382,151616
"Syms, Mr Robert",CON,Poole,23083,0,18630,81739,0,0,922,0,8759,5784,138917
"Tami, Mark",LAB,Alyn & Deeside,23079,0,20656,80206,658,2724,1401,0,5736,10289,144749
"Tapsell, Sir Peter",CON,Louth & Horncastle,23083,0,10100,100790,407,2584,1105,0,2285,6327,146681
"Taylor, David",LAB,Leicestershire North West,17553,0,20512,89002,784,3209,1149,0,9782,12286,154277
"Taylor, Dr Richard",IND,Wyre Forest,19698,0,6065,53424,189,990,804,0,0,5314,86484
"Taylor, Matthew",LD,Truro & St Austell,23083,0,21297,87392,919,3346,1156,1869,9223,13755,162040
"Taylor, Mr Ian",CON,Esher & Walton,23083,0,7972,103859,635,1927,1156,0,9994,4337,152963
"Taylor, Ms Dari",LAB,Stockton South,21170,0,16995,74166,3028,3175,1142,10094,6148,21188,157106
"Teather, Sarah",LD,Brent East,0,2812,26118,83630,933,2217,1158,0,8013,1545,126426
"Thomas, Mr Gareth",LAB,Harrow West,11748,0,18396,90737,752,2640,1298,0,9992,668,136231
"Thornberry, Ms Emily",LAB,Islington South & Finsbury,0,2812,21351,83106,2037,4626,1071,0,17387,0,132390
"Thurso, John",LD,"Caithness, Sutherland and Easter Ross",21448,0,5093,74874,553,2336,1287,0,5598,33134,144323
"Timms, Rt Hon Stephen",LAB,East Ham,0,2812,5315,99526,744,2485,1250,2140,4953,0,119225
"Tipping, Paddy",LAB,Sherwood,14227,0,21339,84457,984,6010,1929,0,10602,11835,151383
"Todd, Mr Mark",LAB,Derbyshire South,19023,0,13112,93906,1093,2809,1194,0,9086,10041,150264
"Touhig, Rt Hon Don",LAB,Islwyn,23080,0,15989,94203,732,1675,1339,0,11552,8929,157499
"Tredinnick, David",CON,Bosworth,23083,0,17363,94398,288,491,1143,0,0,6273,143039
"Trickett, Jon",LAB,Hemsworth,6141,0,22531,83900,1508,4078,1346,0,5904,12951,138359
"Truswell, Mr Paul",LAB,Pudsey,15861,0,15187,90299,1733,5165,1387,0,5174,10967,145773
"Turner, Dr Desmond",LAB,Brighton Kemptown,12321,0,20590,88154,1494,4080,1484,0,10234,5807,144164
"Turner, Mr Andrew",CON,Isle of Wight,19953,0,14564,82453,1110,2523,1413,0,6779,8846,137641
"Turner, Mr Neil",LAB,Wigan,22979,0,16977,93551,1427,4360,1200,0,7612,13112,161218
"Twigg, Derek",LAB,Halton,16800,0,12328,64546,452,1675,1258,8130,4380,11855,121424
"Tyrie, Mr Andrew",CON,Chichester,23083,0,9234,93926,1268,3398,1396,0,0,4527,136832
"Ussher, Kitty",LAB,Burnley,22767,0,22007,84202,1193,3119,1171,0,9620,11309,155388
"Vaizey, Mr Edward",CON,Wantage,23083,0,16969,82436,465,1577,974,4032,7594,6958,144088
"Vara, Mr Shailesh",CON,Cambridgeshire North West,22839,0,10075,90711,1133,1235,917,0,1099,6576,134585
"Vaz, Rt Hon Keith",LAB,Leicester East,20787,0,26308,82637,1612,4484,1329,0,9427,14774,161358
"Viggers, Sir Peter",CON,Gosport,23083,0,20703,71754,278,977,1213,0,14657,9101,141766
"Villiers, Mrs Theresa",CON,Chipping Barnet,18181,0,21096,84892,1904,4965,1385,0,7558,2715,142696
"Vis, Dr Rudi",LAB,Finchley & Golders Green,23083,0,21328,88910,2104,4630,1378,0,9390,5905,156728
"Walker, Mr Charles",CON,Broxbourne,10358,0,8970,90670,903,2404,1146,0,5985,2697,123133
"Wallace, Mr Ben",CON,Lancaster & Wyre,23083,0,20607,90825,619,2265,939,9512,9749,17924,175523
"Walley, Joan",LAB,Stoke-on-Trent North,12017,0,17926,88699,862,3814,1203,0,9689,12509,146719
"Walter, Mr Robert",CON,Dorset North,22496,0,9529,79830,656,2940,1463,0,6009,10247,133170
"Waltho, Lynda",LAB,Stourbridge,16625,0,19616,83925,1514,5466,1037,0,8226,8206,144615
"Ward, Claire",LAB,Watford,23083,0,15796,94755,663,1130,1335,0,7987,2451,147200
"Wareing, Mr Robert N.",IND,Liverpool West Derby,19683,0,29250,79096,239,1247,924,8516,9666,15154,163775
"Waterson, Mr Nigel",CON,Eastbourne,23083,0,18431,90985,814,2299,1371,0,11227,7022,155232
"Watkinson, Angela",CON,Upminster,21234,0,10238,83910,874,3076,1172,0,5579,2122,128205
"Watson, Mr Tom",LAB,West Bromwich East,16069,0,19927,82801,1709,5280,1257,0,8309,7896,143248
"Watts, Mr Dave",LAB,St Helens North,11632,0,26763,59222,567,1497,1125,0,8408,14622,123836
"Webb, Prof Steve",LD,Northavon,22913,0,18461,93370,996,3365,1308,0,9984,8399,158796
"Weir, Mr Mike",SNP,Angus,21561,0,18534,75334,268,595,1458,0,8675,17100,143525
"Whitehead, Dr Alan",LAB,Southampton Test,14190,0,18207,90627,1768,3186,1399,0,10509,4803,144689
"Whittingdale, Mr John",CON,Maldon & Chelmsford East,23083,0,9255,70071,482,1590,1251,0,5541,7843,119116
"Wicks, Rt Hon Malcolm",LAB,Croydon North,0,2812,21003,90747,1600,4023,1304,0,9916,196,131601
"Widdecombe, Rt Hon Ann",CON,Maidstone & The Weald,858,0,20957,87456,465,903,1000,2430,0,1659,115728
"Wiggin, Bill",CON,Leominster,23083,0,11667,100009,858,2300,1360,0,8749,7538,155564
"Willetts, Mr David",CON,Havant,22899,0,20601,91234,639,3478,1054,0,5114,8054,153073
"Williams, Hywel",PC,Caernarfon,23078,0,20875,93136,852,1460,1018,0,6007,19339,165765
"Williams, Mark",LD,Ceredigion,19787,0,13220,87293,588,1442,1290,0,9625,12238,145483
"Williams, Mr Roger",LD,Brecon & Radnorshire,20486,0,13894,82167,664,2464,1123,0,9620,11207,141625
"Williams, Mrs Betty",LAB,Conwy,13989,0,9919,98588,613,5938,1296,0,473,15271,146087
"Williams, Rt Hon Alan",LAB,Swansea West,5221,0,10913,59313,368,303,256,0,441,3711,80526
"Williams, Stephen",LD,Bristol West,20721,0,19280,89769,460,805,1159,0,7199,6192,145585
"Willis, Mr Phil",LD,Harrogate & Knaresborough,22905,0,22322,87024,1792,5200,1127,0,6638,20553,167561
"Willott, Jenny",LD,Cardiff Central,23083,0,19903,88328,521,1405,1269,0,9267,5818,149594
"Wills, Rt Hon Michael",LAB,Swindon North,20766,0,10216,100554,1732,5254,1328,2429,9406,1453,153138
"Wilshire, Mr David",CON,Spelthorne,23083,0,25039,86476,1985,4999,1341,0,10327,7292,160542
"Wilson, Mr Rob",CON,Reading East,0,0,16580,89718,745,2952,1452,0,10186,10585,132218
"Wilson, Phil",LAB,Sedgefield,17312,0,15745,61478,915,3192,760,0,2916,14950,117268
"Wilson, Sammy",DUP,East Antrim,14557,0,19154,88089,631,2240,1355,0,9931,20975,156932
"Winnick, Mr David",LAB,Walsall North,9530,0,11575,67554,294,1109,1029,0,0,5111,96202
"Winterton, Lady Ann",CON,Congleton,20194,0,14375,78990,821,2013,1137,0,0,3822,121352
"Winterton, Rt Hon Rosie",LAB,Doncaster Central,21631,0,10539,85780,1486,5461,1034,0,2828,7440,136199
"Winterton, Sir Nicholas",CON,Macclesfield,14918,0,7812,55388,1045,2997,919,0,0,6054,89133
"Wishart, Pete",SNP,Perth and North Perthshire,21737,0,24165,76669,1204,3838,1159,0,10297,28777,167846
"Wood, Mike",LAB,Batley & Spen,17976,0,11129,100135,1007,3410,1164,1678,2881,5604,144984
"Woodward, Rt Hon Shaun",LAB,St Helens South,23083,0,27763,84040,771,841,1222,0,9325,5777,152822
"Woolas, Mr Phil",LAB,Oldham East & Saddleworth,23083,0,21319,88848,658,2363,1405,0,11372,20379,169427
"Wright, David",LAB,Telford,22573,0,13678,89442,871,2505,1268,0,16986,7525,154848
"Wright, Dr Tony",LAB,Cannock Chase,16162,0,15431,78159,743,2643,947,1073,1924,8520,125602
"Wright, Jeremy",CON,Rugby & Kenilworth,20409,0,17217,80427,859,1554,1163,0,8206,5769,135604
"Wright, Mr Anthony",LAB,Great Yarmouth,23083,0,23335,84937,868,1238,1325,0,11330,8509,154625
"Wright, Mr Iain",LAB,Hartlepool,17882,0,20221,84844,884,1794,1316,0,644,15263,142848
"Wyatt, Derek",LAB,Sittingbourne & Sheppey,23083,0,18662,91575,1520,5444,1151,0,10729,3993,156157
"Yeo, Mr Tim",CON,Suffolk South,23083,0,15720,96123,686,1680,1339,0,9128,5599,153358
"Young, Rt Hon Sir George",CON,Hampshire North West,23083,0,8665,83682,830,3788,1198,0,1631,6006,128883
"Younger-Ross, Richard",LD,Teignbridge,22228,0,29819,78978,1482,274,1148,0,10520,13392,157841
